Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061076,2500.012,169.254.187.189,ae:6c:91:43:f6:f2,90.00B,176.00B,4.346942901611328e-06,4.100751876831055e-06,-2.461910247802731e-07
1575690061062,2500.012,169.254.207.173,f6:86:01:ab:7d:2e,90.00B,90.00B,5.229616165161133e-06,4.7729969024658205e-06,-4.566192626953122e-07
1575690061118,2500.002,169.254.213.141,c6:7b:52:7a:d5:61,90.00B,90.00B,4.648685455322266e-06,4.097890853881836e-06,-5.507946014404301e-07
1575690061128,2500.008,169.254.70.213,56:e2:19:5a:e6:16,90.00B,266.00B,4.37474250793457e-06,4.27098274230957e-06,-1.0375976562500043e-07
1575690061073,2500.038,169.254.50.181,56:90:8f:f7:2a:a8,90.00B,90.00B,4.794359207153321e-06,4.6809196472167966e-06,-1.1343955993652418e-07
1575690061148,2500.01,169.254.217.189,be:47:f7:b5:df:ff,90.00B,90.00B,4.772758483886719e-06,4.40826416015625e-06,-3.6449432373046884e-07
1575690061104,2500.004,169.254.92.85,4a:26:d8:71:5b:fb,90.00B,90.00B,4.550933837890625e-06,4.618406295776367e-06,6.747245788574164e-08
1575690061142,2500.01,169.254.147.85,52:3d:6b:e7:6e:13,90.00B,90.00B,4.254674911499024e-06,4.561471939086914e-06,3.067970275878905e-07
1575690061093,2500.038,169.254.50.221,ea:49:a1:e2:98:d4,90.00B,176.00B,4.3642520904541015e-06,4.1849136352539066e-06,-1.7933845520019494e-07
1575690061130,2500.01,169.254.57.165,82:aa:8d:13:71:b3,90.00B,90.00B,4.121971130371093e-06,3.970479965209961e-06,-1.5149116516113212e-07
1575690061092,2500.038,169.254.50.213,f2:00:12:8d:ce:72,90.00B,90.00B,4.749679565429688e-06,4.500246047973633e-06,-2.494335174560553e-07
1575690061145,2500.01,169.254.41.117,c2:a6:29:60:ae:65,90.00B,90.00B,4.192161560058594e-06,4.7487735748291015e-06,5.566120147705074e-07
1575690061135,2500.01,169.254.217.173,f6:2e:d7:42:01:24,90.00B,90.00B,4.786348342895507e-06,4.333448410034179e-06,-4.52899932861328e-07
1575690061061,2500.008,169.254.131.5,b6:63:d2:ff:d3:a4,90.00B,90.00B,4.441928863525391e-06,4.137897491455078e-06,-3.040313720703129e-07
1575690061140,2500.0,169.254.205.173,a6:67:75:cb:a8:09,90.00B,90.00B,4.102373123168946e-06,3.955602645874024e-06,-1.4677047729492202e-07
1575690061121,2500.004,169.254.86.69,22:db:37:c9:0e:b9,90.00B,90.00B,4.514932632446289e-06,4.053020477294922e-06,-4.6191215515136724e-07
1575690061091,2500.01,169.254.57.5,56:42:b3:cc:f2:6b,90.00B,90.00B,4.4023990631103515e-06,4.4276237487792965e-06,2.522468566894497e-08
1575690061132,2500.038,169.254.50.229,56:ab:19:63:b2:a9,90.00B,90.00B,4.7119140625e-06,4.469871520996094e-06,-2.420425415039063e-07
1575690061107,2500.002,169.254.153.109,d6:ba:6c:ea:6c:e8,90.00B,90.00B,4.760551452636718e-06,4.459953308105468e-06,-3.0059814453124993e-07
1575690061135,2499.998,169.254.120.13,76:dd:0d:7d:05:b1,90.00B,90.00B,4.4830322265625e-06,4.601144790649414e-06,1.1811256408691408e-07
1575690061095,2500.006,169.254.240.21,ea:18:dd:07:f7:ab,90.00B,90.00B,4.595613479614258e-06,4.6851158142089844e-06,8.950233459472634e-08
1575690061145,2500.006,169.254.26.245,d6:9c:54:95:ae:f2,180.00B,90.00B,4.065084457397461e-06,4.0099620819091795e-06,-5.512237548828153e-08
1575690061130,2500.002,169.254.22.37,e6:7c:ae:e9:09:22,90.00B,90.00B,4.15492057800293e-06,4.0089130401611325e-06,-1.460075378417971e-07
1575690061091,2500.012,169.254.33.45,72:49:0e:44:35:4c,90.00B,176.00B,4.3971538543701175e-06,4.051065444946289e-06,-3.4608840942382876e-07
1575690061117,2500.006,169.254.159.157,6e:92:44:e6:e6:93,90.00B,90.00B,4.44035530090332e-06,4.453849792480469e-06,1.3494491577149175e-08
1575690061141,2500.008,169.254.25.13,e6:aa:29:e1:da:ee,90.00B,90.00B,4.349184036254883e-06,4.303884506225586e-06,-4.529953002929718e-08
1575690061138,2500.002,169.254.153.149,62:d9:d8:f0:e7:3d,90.00B,90.00B,4.062700271606445e-06,4.042243957519531e-06,-2.045631408691382e-08
1575690061249,2500.008,169.254.175.189,a2:a5:9c:64:a2:fe,90.00B,90.00B,4.67076301574707e-06,4.808330535888672e-06,1.3756752014160198e-07
1575690061122,2500.01,169.254.199.221,ce:f2:53:3b:3b:c4,90.00B,90.00B,5.0670146942138674e-06,4.804325103759766e-06,-2.6268959045410175e-07
1575690061083,2500.004,169.254.159.101,a2:a3:95:fb:c5:58,90.00B,90.00B,4.275226593017578e-06,4.517650604248047e-06,2.4242401123046873e-07
1575690061142,2500.0,169.254.98.221,4a:05:74:50:c9:e9,90.00B,180.00B,4.65087890625e-06,4.731655120849609e-06,8.077621459960916e-08
1575690061157,2500.01,169.254.200.5,ca:7c:2e:a1:40:a2,90.00B,90.00B,4.414844512939453e-06,4.365158081054688e-06,-4.968643188476502e-08
1575690061183,2500.01,169.254.200.45,02:2c:32:9c:58:29,90.00B,90.00B,5.126333236694336e-06,4.6446323394775395e-06,-4.817008972167966e-07
1575690061090,2500.004,169.254.86.53,32:01:95:ed:20:38,90.00B,90.00B,4.365777969360351e-06,4.080867767333984e-06,-2.8491020202636726e-07
1575690061107,2499.996,169.254.193.109,2e:94:94:a1:5a:1f,90.00B,90.00B,4.29987907409668e-06,4.404592514038086e-06,1.0471343994140615e-07
1575690061080,2500.008,169.254.65.125,be:91:eb:91:bf:1b,90.00B,90.00B,4.683685302734375e-06,4.534816741943359e-06,-1.4886856079101596e-07
1575690061129,2500.002,169.254.102.101,52:c5:80:31:d5:1c,90.00B,90.00B,4.5720577239990236e-06,4.5946598052978515e-06,2.2602081298827965e-08
1575690061248,2500.008,169.254.175.245,fe:6c:aa:cd:b2:f9,90.00B,90.00B,4.524087905883789e-06,4.629230499267578e-06,1.0514259338378881e-07
1575690061160,2500.012,169.254.207.205,e6:f5:b7:d7:0b:fd,90.00B,90.00B,5.021953582763672e-06,4.656505584716797e-06,-3.654479980468754e-07
1575690061117,2500.008,169.254.65.133,ba:6d:2a:6f:62:e3,90.00B,90.00B,4.677915573120117e-06,4.535627365112305e-06,-1.4228820800781208e-07
1575690061157,2500.004,169.254.122.181,f6:b6:f0:e8:97:13,90.00B,90.00B,4.368782043457032e-06,4.2096138000488285e-06,-1.5916824340820317e-07
