In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055450,169.254.188.237,2500.01,8a:9f:b3:10:9f:07,90.00B,90.00B,23.827772617340088,17.81560730934143
Both,1575690055443,169.254.14.209,2500.01,9e:ee:f1:2d:3a:d7,90.00B,180.00B,23.8303279876709,17.817933320999146
Both,1575690055450,169.254.15.13,2500.01,16:8d:bb:c6:65:61,90.00B,90.00B,23.831680297851562,17.819881916046143
Both,1575690055335,169.254.172.253,2500.0,8e:f3:43:6f:13:41,90.00B,90.00B,23.954450130462646,17.94205665588379
Both,1575690055456,169.254.67.61,2500.002,fa:7e:06:af:93:bc,90.00B,90.00B,23.8402259349823,17.82826590538025
Both,1575690055466,169.254.14.253,2500.01,ba:fc:28:49:85:80,90.00B,90.00B,23.8286771774292,17.816290378570557
Both,1575690055465,169.254.127.77,2500.012,7e:54:f1:d3:f5:f5,90.00B,90.00B,23.843637704849243,17.83129906654358
Both,1575690055365,169.254.207.141,2500.002,86:89:66:c0:cd:5d,90.00B,90.00B,23.9458487033844,17.933610916137695
Both,1575690055314,169.254.163.69,2500.01,f6:50:84:63:7e:8b,90.00B,90.00B,23.99634075164795,17.984607934951782
Both,1575690055405,169.254.94.61,2500.008,de:14:05:eb:a9:f8,266.00B,90.00B,23.907315492630005,17.89490580558777
Both,1575690055427,169.254.14.157,2500.01,22:dc:45:7b:ee:07,90.00B,90.00B,23.88240361213684,17.869819164276123
Both,1575690055405,169.254.94.205,2500.008,aa:95:33:e1:44:c6,180.00B,90.00B,23.911224603652954,17.89848518371582
Both,1575690055394,169.254.93.173,2500.008,fe:70:86:b3:bc:cb,90.00B,90.00B,23.923941612243652,17.911746501922607
