Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
2750,492,0,9,984,6048,2973,931,6053,2866,0.970121493375644,5
8,1,0,8,957,6122,2725,1000,6128,3016,0.963151865691212,6
1756,290,0,9,985,6572,4904,942,6578,4737,0.978211434623428,6
2013,336,0,9,956,6211,3253,994,6219,3576,0.958769386227818,8
2692,478,0,9,1000,6669,4757,935,6677,4569,0.969909339718681,8
394,55,0,9,996,6224,3324,937,6236,3463,0.938137032052507,12
539,77,0,9,957,6311,3880,997,6323,3839,0.945246380937849,12
1406,227,0,9,1000,6462,4735,1000,6474,4506,0.953714542793941,12
2225,381,0,9,1000,6389,3699,987,6403,3580,0.931696370674728,14
615,89,0,9,969,6697,4727,1000,6712,5328,0.947284538340458,15
1258,199,0,9,1000,7473,6620,995,7488,6039,0.957838409367816,15
1771,293,0,3,1000,6205,3042,982,6220,3088,0.913291202830594,15
2559,449,0,2,1000,6228,3651,924,6243,3603,0.927790071281257,15
942,144,0,9,1000,6695,4788,993,6711,4833,0.940832608642653,16
971,149,0,3,968,6093,3245,929,6111,3176,0.902856789916594,18
1223,194,0,2,943,7383,6287,968,7402,6171,0.946868716590422,19
275,37,0,7,996,6122,2781,1000,6143,2513,0.859582777177401,21
2732,488,0,1,979,6171,3224,995,6192,3406,0.888141369089804,21
2150,363,0,9,1000,5978,2142,986,6000,2315,0.826140306907348,22
290,39,0,9,1000,6128,3272,994,6152,3328,0.871038835016632,24
370,51,0,9,1000,16183,319399,1000,16207,318912,0.998658536920972,24
2345,402,0,9,1000,6369,3919,989,6393,4009,0.892636964703877,24
2492,432,0,9,991,6227,3529,910,6252,3890,0.883713030873847,25
1571,261,0,6,1000,6642,11756,958,6668,24289,0.976117957400372,26
2399,413,0,9,1000,6460,4296,990,6486,4009,0.888999797363122,26
1907,318,0,9,992,6640,4143,980,6671,4403,0.872136306333265,31
33,4,0,7,1000,6271,4213,1000,6303,9406,0.921804978386376,32
2322,398,0,9,1000,6115,2495,978,6147,2568,0.778785526382648,32
75,9,0,9,993,6210,2703,1000,6244,3852,0.819526782656431,34
1683,278,0,6,985,6327,4579,1000,6361,3746,0.856469235180932,34
2686,476,0,9,1000,6567,3970,954,6601,4366,0.85730872041625,34
607,88,0,7,948,6147,2761,963,6182,2844,0.7849484468177,35
956,146,0,9,1000,6118,3070,956,6155,3756,0.811982207017402,37
1938,323,0,9,1000,6202,3011,1000,6239,3275,0.79260699642297,37
999,153,0,9,1000,6654,5158,868,6692,4692,0.867646029112948,38
2483,430,0,9,976,6166,3435,1000,6204,3816,0.815999862092612,38
1475,242,0,2,991,16482,319356,981,16521,321983,0.997845751808295,39
2682,475,0,9,1000,6627,4659,1000,6668,4466,0.840816096531675,41
2126,358,0,9,975,6436,3997,949,6478,4150,0.821230036487102,42
2563,449,0,9,1000,6228,3651,940,6270,3796,0.804121430752074,42
90,11,0,9,1000,6364,3361,992,6407,3939,0.793373437895959,43
681,100,0,9,976,6214,3757,1000,6257,3647,0.796417817240444,43
2519,438,0,9,972,6351,4163,986,6395,4134,0.814526409374797,44
1503,248,0,9,986,6634,4607,976,6680,5321,0.837895204102554,46
1597,265,0,4,1000,6075,3252,975,6122,2736,0.728006423846857,47
